weak_adj,strong_adj,SI,freq,semdist,weak_pol,bounded,extreme
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,1,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
amazing,miraculous,0,23,-2.30929143875809,1.3977725993206,0,1
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,1,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
angry,violent,0,29,-1.49758861250316,-0.474434283916746,0,0
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,1,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
big,huge,0,67,-0.449321909842175,0.978985002448785,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,1,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bizarre,surreal,0,28,2.59167615322125,-1.17674212942259,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,1,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
bright,brilliant,0,24,1.2925989500577,1.225554346208,0,1
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,1,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
busy,full,0,51,-0.469320286828302,0.123118268014172,1,0
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,1,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,1,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
calm,meditative,0,33,6.2906500345899,0.0640563187498747,1,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,1,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
casual,sloppy,0,28,-5.23651874990813,-0.531080992031751,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,1,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
cold,frosty,0,36,0.849293422283705,0.112453482720878,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,1,74,-2.5986210253313,1.43380034982288,0,1
comfortable,luxurious,0,74,-2.5986210253313,1.43380034982288,0,1
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,0,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cool,cold,1,343,-3.40181834927052,1.29861549812755,0,0
cute,beautiful,0,17,-0.221341651312111,1.45052823521862,0,1
cute,beautiful,0,17,-0.221341651312111,1.45052823521862,0,1
cute,beautiful,0,17,-0.221341651312111,1.45052823521862,0,1
